ID;Name;Total Paid;Pending;Date
0;Cliente Sauna;671.0;0;2014-11-29
6;Cliente 6;2.0;0;2014-11-29
7;Cliente 7;97.0;760.0;2014-11-29
0;Cliente Sauna;72482.0;0;2014-01-30
11;Cliente 11;98.0;89.0;2014-01-30
21;Cliente 21;1372.0;6.0;2014-01-30
24;Cliente 24;16.0;0;2014-01-30
0;Cliente Sauna;42546.0;0;2015-01-30
0;Cliente Sauna;19002.0;0;2014-04-30
1;Cliente 1;1110.0;0;2014-04-30
11;Cliente 11;541.0;266.0;2014-04-30
0;Cliente Sauna;16555.0;0;2014-05-30
0;Cliente Sauna;3706.0;0;2014-06-30
17;Cliente 17;4.0;1251.3400000000001;2014-06-30
19;Cliente 19;1380.5;0;2014-06-30
0;Cliente Sauna;10548.0;0;2014-07-30
0;Cliente Sauna;78666.0;0;2014-08-30
1;Cliente 1;1470.0;0;2014-08-30
6;Cliente 6;2388.5;0;2014-08-30
0;Cliente Sauna;58138.0;0;2014-09-30
0;Cliente Sauna;69464.0;0;2014-10-30
18;Cliente 18;0;1378.01;2014-10-30
0;Cliente Sauna;41223.0;0.0;2014-01-31
22;Cliente 22;280.0;154.0;2014-01-31
39;Cliente 39;1564.5;73.0;2014-01-31
0;Cliente Sauna;1143.0;0;2015-01-31
6;Cliente 6;6.0;0;2015-01-31
20;Cliente 20;130.0;263.0;2015-01-31
0;Cliente Sauna;26690.0;0;2014-05-31
6;Cliente 6;640.0;0;2014-05-31
60;Cliente 60;119.0;20.0;2014-05-31
0;Cliente Sauna;28840.0;0;2014-07-31
18;Cliente 18;0;1078.01;2014-07-31
0;Cliente Sauna;52959.0;0;2014-10-31
